Date,Close/Last,Volume,Open,High,Low
4/30/2025,$212.50 ,52286450,$209.30 ,$213.58 ,$206.67 
4/29/2025,$211.21 ,36827630,$208.69 ,$212.24 ,$208.37 
4/28/2025,$210.14 ,38743070,$210.00 ,$211.50 ,$207.46 
4/25/2025,$209.28 ,38222260,$206.37 ,$209.75 ,$206.20 
4/24/2025,$208.37 ,47310990,$204.89 ,$208.83 ,$202.94 
4/23/2025,$204.60 ,52929170,$206.00 ,$208.00 ,$202.80 
4/22/2025,$199.74 ,52976370,$196.12 ,$201.59 ,$195.97 
4/21/2025,$193.16 ,46742540,$193.27 ,$193.80 ,$189.81 
4/17/2025,$196.98 ,52164680,$197.20 ,$198.83 ,$194.42 
4/16/2025,$194.27 ,59732420,$198.36 ,$200.70 ,$192.37 
4/15/2025,$202.14 ,51343870,$201.86 ,$203.51 ,$199.80 
4/14/2025,$202.52 ,101352900,$211.44 ,$212.94 ,$201.16 
4/11/2025,$198.15 ,87435920,$186.10 ,$199.54 ,$186.06 
4/10/2025,$190.42 ,121880000,$189.07 ,$194.78 ,$183.00 
4/9/2025,$198.85 ,184395900,$171.95 ,$200.61 ,$171.89 
4/8/2025,$172.42 ,120859500,$186.70 ,$190.34 ,$169.21 
4/7/2025,$181.46 ,160466300,$177.20 ,$194.15 ,$174.62 
4/4/2025,$188.38 ,125910900,$193.89 ,$199.88 ,$187.34 
4/3/2025,$203.19 ,103419000,$205.54 ,$207.49 ,$201.25 
4/2/2025,$223.89 ,35905900,$221.32 ,$225.19 ,$221.02 
4/1/2025,$223.19 ,36412740,$219.81 ,$223.68 ,$218.90 
3/31/2025,$222.13 ,65299320,$217.01 ,$225.62 ,$216.23 
